"Date","Time","Open","High","Low","Close","Vol","OI","CompositeRSI","HurstExponent"
06/06/2023,16:00,37295,37360,37131,37300,161273,97106,58.09,39.49
06/07/2023,16:00,37294,37428,37225,37392,170144,95548,65.23,39.42
06/08/2023,16:00,37386,37591,37318,37548,19018,9672,72.28,41.02
06/09/2023,16:00,37526,37683,37424,37592,167151,9672,73.70,44.42
06/12/2023,16:00,37580,37792,37575,37779,154296,52482,77.16,47.71
06/13/2023,16:00,37778,38023,37715,37921,182160,74076,78.47,52.46
06/14/2023,16:00,37840,37910,37476,37674,182316,85643,45.43,52.09
06/15/2023,16:00,37680,38196,37559,38114,184352,88397,69.76,54.57
06/16/2023,16:00,38095,38278,37975,37994,159993,90405,57.97,56.29
06/20/2023,16:00,38011,38039,37587,37746,189093,87695,40.97,55.77
06/21/2023,16:00,37718,37777,37550,37625,131656,89954,35.60,56.16
06/22/2023,16:00,37638,37664,37486,37600,133727,92003,34.34,57.23
06/23/2023,16:00,37640,37640,37278,37367,144692,94512,27.50,57.31
06/26/2023,16:00,37367,37462,37245,37361,131127,95205,27.38,55.85
06/27/2023,16:00,37392,37622,37291,37573,149650,92337,62.46,56.32
06/28/2023,16:00,37559,37608,37383,37491,150797,93192,49.13,57.23
06/29/2023,16:00,37535,37778,37441,37743,158623,93261,68.79,57.03
06/30/2023,16:00,37715,38095,37703,38033,125426,94449,75.40,49.73
07/03/2023,16:00,38009,38078,37900,38027,73707,94947,74.20,44.40
07/05/2023,16:00,38018,38042,37825,37899,144068,94516,49.95,44.82
07/06/2023,16:00,37878,37885,37357,37521,159330,97734,30.90,40.27
07/07/2023,16:00,37497,37634,37308,37327,137648,97227,27.40,38.98
07/10/2023,16:00,37358,37559,37193,37536,123288,95996,51.30,40.14
07/11/2023,16:00,37541,37883,37450,37854,140621,97494,67.40,39.26
07/12/2023,16:00,37829,38182,37800,37940,151138,95316,70.21,38.45
07/13/2023,16:00,37960,38065,37933,37980,110881,96455,71.79,39.32
07/14/2023,16:00,37937,38178,37885,38068,135128,97283,74.95,40.09
07/17/2023,16:00,38037,38240,37970,38153,117302,98273,76.93,42.02
07/18/2023,16:00,38134,38563,38081,38532,155188,101919,80.21,48.85
07/19/2023,16:00,38510,38807,38500,38643,167588,102977,80.82,55.09
07/20/2023,16:00,38627,38939,38582,38791,176631,106604,81.59,57.02
07/21/2023,16:00,38803,38906,38738,38788,144932,107606,80.65,57.08
07/24/2023,16:00,38787,39028,38741,38971,127732,110914,82.18,59.13
07/25/2023,16:00,38974,39083,38917,38994,124979,111479,82.33,60.39
07/26/2023,16:00,38963,39190,38860,39074,173876,112853,82.83,62.24
07/27/2023,16:00,39025,39233,38736,38821,188130,107210,42.71,61.51
07/28/2023,16:00,38829,39098,38766,38982,144651,107009,62.28,61.54
07/31/2023,16:00,38988,39103,38901,39085,105890,109794,70.25,62.54
08/01/2023,16:00,39096,39200,38961,39147,125388,112504,74.31,62.21
08/02/2023,16:00,39040,39118,38723,38793,167190,108784,38.60,61.14
08/03/2023,16:00,38786,38884,38606,38702,153648,105985,35.32,62.51
08/04/2023,16:00,38685,38992,38507,38543,183905,106405,30.91,61.68
08/07/2023,16:00,38540,38979,38530,38944,146894,109427,66.58,56.76
08/08/2023,16:00,38953,38959,38466,38785,153076,106001,52.12,49.15
08/09/2023,16:00,38766,38884,38521,38592,140785,104273,39.83,47.21
08/10/2023,16:00,38661,39050,38569,38641,206767,104689,47.31,45.48
08/11/2023,16:00,38655,38821,38505,38741,139824,103192,61.20,43.19
08/14/2023,16:00,38781,38846,38616,38761,131739,102953,63.86,40.32
08/15/2023,16:00,38737,38803,38347,38397,165854,103400,31.28,31.68
08/16/2023,16:00,38396,38580,38193,38211,166423,102024,27.54,36.64
08/17/2023,16:00,38237,38343,37889,37926,164743,100431,24.12,44.74
08/18/2023,16:00,37916,38050,37718,37955,157850,98974,29.52,47.97
08/21/2023,16:00,37955,38099,37698,37914,144074,97195,27.79,47.88
08/22/2023,16:00,37891,38042,37697,37734,139805,96015,23.42,47.09
08/23/2023,16:00,37739,37983,37730,37912,132077,94276,52.28,47.44
08/24/2023,16:00,37966,38127,37489,37530,173274,96327,29.42,50.41
08/25/2023,16:00,37539,37873,37452,37767,196522,94497,50.51,50.74
08/28/2023,16:00,37813,38082,37790,37984,142335,94541,62.10,50.25
08/29/2023,16:00,37996,38298,37915,38277,141831,94690,70.44,48.03
08/30/2023,16:00,38290,38480,38239,38346,149961,92564,71.93,47.42
08/31/2023,16:00,38413,38567,38160,38181,152651,92565,48.11,46.87
09/01/2023,16:00,38197,38417,38151,38272,144441,91484,58.23,47.81
09/05/2023,16:00,38259,38359,38063,38070,152734,90560,37.07,48.49
09/06/2023,16:00,38075,38099,37707,37869,156452,89835,28.96,48.94
09/07/2023,16:00,37858,37975,37755,37918,9016,7549,38.63,49.59
09/08/2023,16:00,37933,38050,37833,37998,134875,7549,53.42,46.28
09/11/2023,16:00,38014,38207,37968,38076,129911,45888,63.10,46.65
09/12/2023,16:00,38064,38270,37945,38060,155936,75205,57.07,45.14
09/13/2023,16:00,38055,38184,37907,37982,147616,81001,37.02,39.99
09/14/2023,16:00,37996,38387,37978,38321,178872,82970,70.32,39.49
09/15/2023,16:00,38349,38421,37951,37991,173216,83870,40.85,39.42
09/18/2023,16:00,37994,38102,37912,37999,122942,84292,41.88,40.11
09/19/2023,16:00,38006,38055,37670,37881,161163,86819,32.94,40.19
09/20/2023,16:00,37879,38147,37782,37793,178631,86165,28.51,40.09
09/21/2023,16:00,37796,37810,37365,37401,213067,88013,21.85,41.66
09/22/2023,16:00,37394,37485,37275,37296,173503,87481,20.94,46.21
09/25/2023,16:00,37334,37422,37104,37337,169719,86385,30.49,50.89
09/26/2023,16:00,37358,37358,36879,36939,182086,92338,20.57,54.82
09/27/2023,16:00,36984,37076,36608,36855,207623,90607,19.64,59.36
09/28/2023,16:00,36928,37074,36757,36956,217709,91282,38.58,58.98
09/29/2023,16:00,37003,37191,36687,36789,241693,93792,26.86,55.91
10/02/2023,16:00,36956,37003,36499,36702,232202,95478,23.22,56.71
10/03/2023,16:00,36697,36773,36181,36265,242372,100563,16.95,60.45
10/04/2023,16:00,36241,36421,36085,36390,232770,99838,33.14,62.10
10/05/2023,16:00,36338,36431,36187,36368,181562,99894,31.44,61.99
10/06/2023,16:00,36355,36820,36096,36664,250290,98346,59.48,59.75
10/09/2023,16:00,36541,36898,36362,36865,173478,94976,65.80,58.50
10/10/2023,16:00,36864,37156,36840,37000,169527,94290,68.73,58.54
10/11/2023,16:00,36993,37142,36863,37056,147298,93147,69.86,58.53
10/12/2023,16:00,37110,37217,36681,36860,179970,95661,38.38,58.01
10/13/2023,16:00,36850,37187,36771,36891,231266,96414,44.07,54.07
10/16/2023,16:00,36874,37318,36874,37198,160397,97912,67.13,53.04
10/17/2023,16:00,37237,37369,37030,37208,199591,96210,67.50,53.23
10/18/2023,16:00,37184,37211,36802,36870,214223,99115,31.93,47.09
