Date,Time,Open,High,Low,Close,Vol,OI
06/05/2007,16:00,1169.0,1169.6,1160.7,1165.6,27566,93537
06/06/2007,16:00,1165.5,1166.1,1150.4,1151.1,33000,93537
06/07/2007,16:00,1152.3,1152.3,1131.6,1131.9,50786,28167
06/08/2007,16:00,1131.5,1143.6,1127.4,1142.2,50775,48635
06/11/2007,16:00,1141.2,1146.8,1137.8,1144.5,40473,68050
06/12/2007,16:00,1144.3,1144.9,1131.3,1131.7,44803,85536
06/13/2007,16:00,1132.0,1144.4,1130.7,1142.3,36213,90675
06/14/2007,16:00,1142.6,1153.2,1141.7,1150.0,25850,91015
06/15/2007,16:00,1150.1,1160.3,1149.2,1156.9,23122,91883
06/18/2007,16:00,1157.2,1159.3,1150.9,1153.0,20533,90816
06/19/2007,16:00,1151.7,1153.4,1145.8,1151.4,23984,89573
06/20/2007,16:00,1151.2,1155.2,1140.3,1141.0,26936,88064
06/21/2007,16:00,1141.0,1150.0,1135.2,1149.1,26556,88670
06/22/2007,16:00,1148.8,1148.8,1135.5,1142.8,32442,86953
06/25/2007,16:00,1141.8,1143.4,1130.1,1133.8,31228,86601
06/26/2007,16:00,1134.7,1137.8,1124.8,1125.0,29264,86716
06/27/2007,16:00,1125.4,1140.2,1122.2,1139.5,28593,88065
06/28/2007,16:00,1139.3,1145.8,1138.2,1139.2,24884,88113
06/29/2007,16:00,1139.5,1145.4,1132.8,1137.4,33488,87751
07/02/2007,16:00,1137.4,1149.6,1137.3,1149.1,23453,89323
07/03/2007,16:00,1148.8,1153.2,1148.5,1153.2,12030,90150
07/05/2007,16:00,1154.5,1154.8,1146.6,1151.7,21545,88401
07/06/2007,16:00,1151.1,1158.6,1148.7,1158.0,17927,90454
07/09/2007,16:00,1158.2,1160.4,1153.7,1157.3,17602,90786
07/10/2007,16:00,1157.2,1158.7,1143.8,1144.7,31293,91915
07/11/2007,16:00,1145.2,1152.3,1141.0,1151.9,26510,94953
07/12/2007,16:00,1151.9,1165.1,1151.5,1162.3,28522,99863
07/13/2007,16:00,1162.2,1167.6,1160.7,1164.4,14399,101198
07/16/2007,16:00,1164.1,1166.5,1159.2,1161.6,16165,101517
07/17/2007,16:00,1161.1,1167.3,1158.2,1162.4,17750,102939
07/18/2007,16:00,1161.8,1161.8,1151.0,1160.1,34689,103165
07/19/2007,16:00,1160.5,1165.6,1155.7,1161.6,19304,103621
07/20/2007,16:00,1161.7,1163.3,1149.1,1154.2,36762,103214
07/23/2007,16:00,1154.2,1158.7,1149.9,1150.1,21968,102661
07/24/2007,16:00,1150.1,1150.9,1127.0,1133.2,37878,101742
07/25/2007,16:00,1132.3,1138.4,1120.2,1128.2,41068,100144
07/26/2007,16:00,1128.7,1130.8,1097.5,1106.9,64340,99716
07/27/2007,16:00,1107.8,1115.3,1089.3,1090.7,43288,97461
07/30/2007,16:00,1091.3,1108.5,1088.8,1103.4,41856,93132
07/31/2007,16:00,1103.5,1116.0,1089.2,1094.6,54586,89128
08/01/2007,16:00,1092.9,1101.0,1081.7,1096.1,70003,89367
08/02/2007,16:00,1095.9,1105.8,1093.9,1105.2,37746,88152
08/03/2007,16:00,1104.8,1106.4,1076.7,1081.5,47691,86887
08/06/2007,16:00,1078.5,1089.4,1067.8,1086.4,52730,86214
08/07/2007,16:00,1086.5,1099.9,1082.0,1095.5,49867,86027
08/08/2007,16:00,1095.1,1116.0,1095.1,1109.3,47939,85241
08/09/2007,16:00,1109.1,1109.8,1082.7,1083.6,64954,83537
08/10/2007,16:00,1084.5,1095.8,1068.4,1085.5,61717,84227
08/13/2007,16:00,1087.8,1102.7,1087.8,1090.4,31742,82390
08/14/2007,16:00,1090.2,1094.8,1074.1,1077.2,39231,83248
08/15/2007,16:00,1076.5,1083.1,1054.6,1060.7,47067,83113
08/16/2007,16:00,1059.8,1060.1,1033.1,1057.8,85035,86457
08/17/2007,16:00,1058.6,1087.6,1043.9,1074.9,59232,84598
08/20/2007,16:00,1073.7,1082.4,1067.9,1076.7,38097,84801
08/21/2007,16:00,1076.7,1083.2,1071.8,1081.1,27248,84252
08/22/2007,16:00,1080.7,1093.7,1080.7,1091.5,21838,84372
08/23/2007,16:00,1091.8,1099.2,1084.0,1087.7,29963,83994
08/24/2007,16:00,1087.2,1102.4,1084.9,1102.1,23702,85425
08/27/2007,16:00,1101.3,1101.3,1089.1,1089.7,22235,86107
08/28/2007,16:00,1089.7,1089.7,1069.0,1072.5,26945,84969
08/29/2007,16:00,1072.2,1091.3,1070.4,1090.4,31599,86678
08/30/2007,16:00,1089.9,1093.3,1081.4,1085.8,30530,85608
08/31/2007,16:00,1085.4,1101.8,1085.4,1098.4,30209,85044
09/04/2007,16:00,1097.1,1113.0,1093.8,1106.6,23508,86264
09/05/2007,16:00,1105.4,1105.4,1095.4,1102.7,25822,87002
09/06/2007,16:00,1101.8,1106.4,1095.3,1104.3,23757,89424
09/07/2007,16:00,1103.8,1105.4,1084.9,1090.2,38437,87328
09/10/2007,16:00,1088.2,1094.3,1073.0,1082.1,35848,87328
09/11/2007,16:00,1082.8,1093.1,1081.1,1092.2,27519,84654
09/12/2007,16:00,1091.0,1096.5,1088.3,1092.6,32242,84654
09/13/2007,16:00,1091.9,1100.0,1088.5,1093.1,30119,28477
09/14/2007,16:00,1092.8,1098.8,1084.0,1097.5,30371,38337
09/17/2007,16:00,1096.1,1096.2,1089.5,1091.7,45333,65076
09/18/2007,16:00,1092.0,1116.6,1090.0,1116.3,56908,83566
09/19/2007,16:00,1116.2,1129.7,1115.3,1120.4,44612,94163
09/20/2007,16:00,1119.9,1120.6,1111.2,1114.2,27757,96097
09/21/2007,16:00,1114.0,1120.9,1112.6,1113.7,20106,97024
09/24/2007,16:00,1114.2,1117.1,1106.6,1110.0,24575,96672
09/25/2007,16:00,1109.6,1109.9,1100.2,1108.3,18976,97077
09/26/2007,16:00,1108.0,1116.2,1108.0,1113.7,18870,98527
09/27/2007,16:00,1114.0,1122.1,1113.9,1121.9,19540,100543
09/28/2007,16:00,1121.5,1124.7,1115.3,1118.4,28708,102843
10/01/2007,16:00,1119.2,1131.2,1117.1,1128.7,34288,103543
10/02/2007,16:00,1128.4,1136.0,1127.2,1131.9,20198,102314
10/03/2007,16:00,1131.9,1135.7,1127.8,1134.1,20555,104129
10/04/2007,16:00,1133.8,1136.8,1130.1,1131.6,15408,102237
10/05/2007,16:00,1131.7,1148.1,1130.1,1147.6,25010,104450
10/08/2007,16:00,1147.5,1150.0,1139.5,1141.3,13468,103253
10/09/2007,16:00,1141.5,1150.6,1140.9,1150.2,21813,104088
10/10/2007,16:00,1149.5,1150.4,1142.5,1147.7,20662,102651
10/11/2007,16:00,1147.4,1156.5,1136.9,1143.9,39536,104543
10/12/2007,16:00,1143.4,1148.2,1139.3,1145.1,25494,102883
10/15/2007,16:00,1145.3,1146.7,1132.2,1140.8,29062,102683
10/16/2007,16:00,1140.6,1142.3,1128.0,1129.0,28475,102805
10/17/2007,16:00,1130.3,1137.6,1120.4,1131.5,31820,103085
10/18/2007,16:00,1132.2,1134.8,1122.6,1132.2,23709,103949
10/19/2007,16:00,1132.0,1133.4,1104.2,1104.8,38561,101847
10/22/2007,16:00,1106.7,1117.3,1093.7,1114.2,36041,100184
10/23/2007,16:00,1114.8,1121.6,1111.6,1119.9,24051,99285
10/24/2007,16:00,1119.1,1121.3,1103.6,1120.1,43252,101619
10/25/2007,16:00,1121.0,1124.6,1105.8,1119.6,37056,102820
10/26/2007,16:00,1120.4,1128.1,1116.6,1127.0,23543,101516
10/29/2007,16:00,1125.9,1130.4,1123.7,1129.0,27037,100910
10/30/2007,16:00,1128.7,1128.8,1120.2,1122.0,20492,100143
10/31/2007,16:00,1121.5,1138.6,1119.5,1137.2,37972,102218
11/01/2007,16:00,1135.8,1137.9,1114.6,1115.4,41913,104398
11/02/2007,16:00,1114.6,1122.9,1107.8,1116.0,37164,102410
11/05/2007,16:00,1116.3,1116.3,1102.9,1106.1,27508,101672
11/06/2007,16:00,1105.6,1119.9,1104.9,1119.5,28216,100798
11/07/2007,16:00,1119.0,1119.4,1097.6,1101.8,40772,101703
11/08/2007,16:00,1100.8,1107.1,1083.8,1100.5,51937,102753
11/09/2007,16:00,1101.1,1102.5,1084.3,1088.0,37212,102736
11/12/2007,16:00,1089.3,1094.8,1072.4,1073.2,33960,102947
11/13/2007,16:00,1073.4,1096.6,1071.1,1095.2,28807,100500
11/14/2007,16:00,1095.0,1103.3,1090.0,1094.7,28358,100426
11/15/2007,16:00,1094.3,1096.1,1076.1,1080.8,39095,99520
11/16/2007,16:00,1080.2,1086.3,1071.0,1077.6,40827,100287
11/19/2007,16:00,1077.4,1080.7,1061.6,1064.0,32868,101496
11/20/2007,16:00,1063.9,1072.7,1050.8,1064.6,46879,102810
11/21/2007,16:00,1065.0,1066.0,1047.2,1049.3,33239,102457
11/23/2007,16:00,1054.7,1065.4,1049.8,1059.8,11152,102670
11/26/2007,16:00,1058.5,1068.3,1044.8,1045.9,26870,102765
11/27/2007,16:00,1046.1,1059.2,1045.0,1055.6,37265,102744
11/28/2007,16:00,1056.8,1083.6,1050.7,1080.6,31232,101751
11/29/2007,16:00,1081.1,1084.6,1075.8,1079.8,22271,101678
11/30/2007,16:00,1079.5,1093.9,1078.8,1087.8,31581,102151
12/03/2007,16:00,1088.2,1091.1,1082.6,1084.2,21844,102963
12/04/2007,16:00,1083.9,1084.8,1075.1,1081.9,23184,104190
12/05/2007,16:00,1081.8,1095.9,1081.3,1094.0,23537,104322
12/06/2007,16:00,1094.7,1111.5,1090.9,1109.6,27397,104067
12/07/2007,16:00,1109.0,1114.6,1106.5,1112.4,15907,103561
12/10/2007,16:00,1111.8,1120.9,1108.2,1120.1,16392,104098
12/11/2007,16:00,1120.5,1123.7,1091.3,1092.2,40218,97394
12/12/2007,16:00,1090.9,1114.1,1086.7,1097.2,44795,87114
12/13/2007,16:00,1101.0,1101.0,1081.0,1095.1,47495,37976
12/14/2007,16:00,1094.9,1097.7,1079.9,1080.0,41171,54211
12/17/2007,16:00,1077.4,1079.9,1067.0,1068.8,44954,75092
12/18/2007,16:00,1067.0,1079.2,1060.9,1072.9,41719,91984
12/19/2007,16:00,1073.2,1077.9,1067.2,1074.2,33475,100260
12/20/2007,16:00,1073.1,1087.9,1069.6,1087.5,26945,105841
12/21/2007,16:00,1087.0,1097.1,1085.3,1096.5,22077,107330
12/24/2007,16:00,1097.1,1106.2,1095.2,1105.0,4862,107344
12/26/2007,16:00,1105.9,1106.3,1098.9,1103.4,10866,106287
12/27/2007,16:00,1103.0,1103.4,1087.7,1089.4,15205,105053
12/28/2007,16:00,1090.2,1097.8,1085.1,1087.3,12131,104880
12/31/2007,16:00,1087.4,1089.5,1076.9,1083.7,18880,101356
01/02/2008,16:00,1080.9,1083.8,1067.0,1072.8,27889,101265
01/03/2008,16:00,1072.4,1076.4,1063.5,1066.0,24059,100243
01/04/2008,16:00,1066.5,1069.0,1038.6,1043.2,30427,101320
01/07/2008,16:00,1044.7,1049.3,1030.6,1037.8,36529,100884
01/08/2008,16:00,1037.6,1047.0,1016.6,1017.8,36954,101908
01/09/2008,16:00,1018.1,1025.1,1003.1,1022.1,38094,102894
01/10/2008,16:00,1022.1,1036.6,1013.3,1028.1,37187,103213
01/11/2008,16:00,1028.1,1028.4,1015.6,1018.3,32348,102723
01/14/2008,16:00,1021.5,1028.7,1013.9,1026.5,22196,103800
01/15/2008,16:00,1026.3,1026.6,1005.6,1008.3,32962,105726
01/16/2008,16:00,1005.9,1014.3,995.4,1003.3,41137,106302
01/17/2008,16:00,1002.8,1010.2,980.2,981.6,41748,105832
01/18/2008,16:00,981.2,992.4,968.9,975.5,41502,105693
01/22/2008,16:00,949.1,981.2,933.5,971.6,48524,105987
01/23/2008,16:00,969.9,992.4,947.0,991.8,58446,105244
01/24/2008,16:00,990.7,1003.0,987.9,997.2,32664,104259
01/25/2008,16:00,999.3,1008.9,988.7,991.1,31187,104308
01/28/2008,16:00,992.7,1012.5,978.3,1011.1,28559,104838
01/29/2008,16:00,1010.5,1017.0,1005.0,1015.8,16942,105012
01/30/2008,16:00,1014.9,1026.8,1002.7,1003.5,29817,105002
01/31/2008,16:00,1002.9,1029.0,992.1,1025.3,38529,105610
02/01/2008,16:00,1021.1,1045.1,1020.9,1044.1,28188,106451
02/04/2008,16:00,1044.1,1045.9,1034.5,1034.9,20853,107656
02/05/2008,16:00,1034.0,1036.6,1013.3,1017.3,28546,107512
02/06/2008,16:00,1017.8,1022.2,1003.6,1008.0,24978,108448
02/07/2008,16:00,1009.0,1017.5,996.3,1016.3,33642,107602
02/08/2008,16:00,1016.9,1020.4,1006.2,1013.5,21358,107846
02/11/2008,16:00,1012.9,1021.0,1005.8,1018.3,21163,107617
02/12/2008,16:00,1018.0,1028.7,1013.9,1021.8,21270,107554
02/13/2008,16:00,1021.8,1030.8,1018.7,1029.2,21737,106983
02/14/2008,16:00,1029.2,1033.2,1015.9,1016.4,21035,107032
02/15/2008,16:00,1015.2,1019.8,1005.7,1014.9,21044,108142
02/19/2008,16:00,1022.9,1026.2,1013.3,1020.6,21190,107952
02/20/2008,16:00,1020.8,1028.6,1009.5,1027.9,29136,108325
02/21/2008,16:00,1027.3,1035.0,1014.6,1016.9,27720,109518
02/22/2008,16:00,1016.4,1022.0,1005.8,1020.2,29104,109935
02/25/2008,16:00,1019.4,1038.8,1019.4,1037.9,33261,109135
02/26/2008,16:00,1037.2,1050.1,1033.4,1044.1,30200,107960
02/27/2008,16:00,1044.0,1049.8,1035.8,1041.2,22891,108268
02/28/2008,16:00,1040.6,1042.0,1028.5,1029.8,24185,108268
02/29/2008,16:00,1029.8,1030.4,1004.8,1008.3,31583,110245
03/03/2008,16:00,1009.2,1012.3,999.9,1008.3,27153,110876
