Date,Close,High,Low,Open,Vol,Session
2020-03-24,1621.6,1630.4,1495.7,1501.2,11962,
2020-03-25,1662.1,1712.6,1591.7,1618.5,16564,
2020-03-26,1739.2,1744.4,1619.5,1662.1,9168,
2020-03-27,1691.9,1739.4,1666.6,1738.9,10368,
2020-03-30,1732.9,1734.7,1661.5,1662.5,12388,
2020-03-31,1717.3,1743.3,1695.6,1733.2,10942,
2020-04-01,1630.8,1705.0,1620.0,1705.0,11599,
2020-04-02,1649.0,1681.8,1613.0,1635.1,8202,
2020-04-03,1609.7,1656.1,1595.9,1645.1,8507,
2020-04-06,1718.6,1723.7,1621.4,1625.6,9849,
2020-04-07,1738.3,1808.4,1699.9,1711.4,13714,
2020-04-08,1812.8,1820.2,1718.8,1727.5,14978,
2020-04-09,1861.2,1888.7,1787.0,1806.5,11677,
2020-04-13,1812.8,1874.2,1795.3,1874.2,11322,
2020-04-14,1845.6,1866.5,1815.0,1818.3,10442,
2020-04-15,1783.0,1847.9,1775.3,1846.4,9877,
2020-04-16,1782.8,1811.7,1756.0,1784.1,13145,
2020-04-17,1836.1,1857.9,1820.5,1842.5,13145,
2020-04-20,1806.7,1839.5,1799.9,1831.2,13334,
2020-04-21,1765.9,1819.5,1754.9,1805.8,11989,
2020-04-22,1786.1,1805.5,1762.5,1764.6,8841,
2020-04-23,1802.6,1827.6,1779.8,1787.8,9718,
2020-04-24,1824.0,1832.3,1783.5,1799.6,6040,
2020-04-27,1889.2,1898.0,1817.5,1834.6,10098,
2020-04-28,1904.4,1939.4,1877.5,1888.6,12934,
2020-04-29,1975.3,1986.7,1902.9,1906.6,11045,
2020-04-30,1920.8,1987.2,1912.8,1979.8,11836,
2020-05-01,1864.0,1908.1,1847.0,1905.1,11836,
2020-05-04,1867.1,1868.6,1825.5,1839.9,8051,
2020-05-05,1882.5,1915.3,1862.7,1864.3,7874,
2020-05-06,1869.2,1902.5,1863.1,1883.7,6632,
2020-05-07,1896.2,1913.2,1854.0,1861.8,9539,
2020-05-08,1953.1,1957.3,1900.3,1902.7,9539,
2020-05-11,1942.8,1967.3,1919.3,1949.0,14049,
2020-05-12,1881.7,1952.6,1859.8,1940.0,12237,
2020-05-13,1827.5,1886.3,1809.9,1860.2,12656,
2020-05-14,1843.0,1849.3,1768.3,1831.9,14920,
2020-05-15,1855.7,1860.8,1817.6,1844.6,9269,
2020-05-18,1952.1,1960.4,1851.0,1852.5,14262,
2020-05-19,1929.4,1972.5,1927.7,1952.0,12771,
2020-05-20,1964.8,1976.0,1923.8,1926.1,9384,
2020-05-21,1972.6,1979.5,1948.4,1970.2,14049,
2020-05-22,1972.5,1979.5,1939.2,1966.5,8495,
2020-05-26,2030.3,2043.9,1996.4,1999.9,11197,
2020-05-27,2077.2,2084.4,2023.1,2036.2,12073,
2020-05-28,2051.8,2098.0,2044.4,2078.2,12254,
2020-05-29,2041.8,2063.5,2017.8,2056.2,14585,
2020-06-01,2062.1,2073.2,2022.5,2048.0,10352,
2020-06-02,2078.5,2084.0,2048.7,2065.7,9099,
2020-06-03,2128.1,2135.3,2074.9,2076.4,10949,
2020-06-04,2129.4,2138.2,2104.8,2127.4,13381,
2020-06-05,2189.0,2221.9,2127.0,2133.0,13381,
2020-06-08,2224.0,2225.2,2185.0,2190.6,9849,
2020-06-09,2184.0,2224.5,2173.0,2222.5,11329,
2020-06-10,2136.1,2206.1,2129.6,2188.1,63,
2020-06-11,1999.6,2129.9,1996.9,2129.9,15107,
2020-06-12,2035.8,2070.8,1985.8,2007.7,62661,
2020-06-15,2064.8,2074.1,1954.2,2039.0,60199,
2020-06-16,2101.3,2142.5,2069.9,2077.6,30961,
2020-06-17,2076.7,2124.7,2072.0,2098.5,15259,
2020-06-18,2072.4,2089.7,2048.9,2074.9,11671,
2020-06-19,2064.0,2104.2,2045.5,2068.9,13723,
2020-06-22,2069.9,2077.4,2027.4,2046.9,11280,
2020-06-23,2072.2,2102.5,2038.0,2074.2,14424,
2020-06-24,2010.1,2077.4,1992.5,2065.8,16668,
2020-06-25,2034.1,2036.9,1985.5,2018.8,15339,
2020-06-26,1998.9,2038.2,1994.3,2033.6,15339,
2020-06-29,2040.4,2044.8,1986.0,1990.4,14730,
2020-06-30,2063.6,2068.6,2030.2,2039.9,16237,
2020-07-01,2049.4,2075.7,2039.3,2059.9,16924,
2020-07-02,2059.0,2092.7,2045.4,2048.5,12310,
2020-07-06,2077.9,2101.0,2057.5,2057.5,12486,
2020-07-07,2042.7,2087.0,2041.3,2077.1,13198,
2020-07-08,2055.1,2063.1,2033.8,2046.7,11017,
2020-07-09,2028.6,2060.9,2006.4,2059.8,12934,
2020-07-10,2053.5,2058.3,2006.1,2030.4,10725,
2020-07-13,2033.9,2086.0,2032.0,2063.0,14069,
2020-07-14,2063.1,2063.7,2021.7,2045.8,16051,
